Day,Date,Value,Original,Avg005,Avg030,Avg090,Avg180,Avg365
724670,1985-01-29,-128.0,1295.48999,0.0,0.0,0.0,0.0,0.0
724671,1985-01-30,-128.0,1305.099976,0.0,0.0,0.0,0.0,0.0
724672,1985-01-31,-128.0,1293.400024,0.0,0.0,0.0,0.0,0.0
724673,1985-02-01,-128.0,1286.109985,0.0,0.0,0.0,0.0,0.0
724674,1985-02-02,-128.0,1286.109985,-128.0,0.0,0.0,0.0,0.0
724675,1985-02-03,-128.0,1286.109985,-128.0,0.0,0.0,0.0,0.0
724676,1985-02-04,-128.0,1294.939941,-128.0,0.0,0.0,0.0,0.0
724677,1985-02-05,-128.0,1301.130005,-128.0,0.0,0.0,0.0,0.0
724678,1985-02-06,-128.0,1294.5,-128.0,0.0,0.0,0.0,0.0
724679,1985-02-07,-128.0,1297.040039,-128.0,0.0,0.0,0.0,0.0
724680,1985-02-08,-128.0,1297.150024,-128.0,0.0,0.0,0.0,0.0
724681,1985-02-09,-128.0,1297.150024,-128.0,0.0,0.0,0.0,0.0
724682,1985-02-10,-128.0,1297.150024,-128.0,0.0,0.0,0.0,0.0
724683,1985-02-11,-128.0,1291.73999,-128.0,0.0,0.0,0.0,0.0
724684,1985-02-12,-128.0,1283.130005,-128.0,0.0,0.0,0.0,0.0
724685,1985-02-13,-128.0,1304.660034,-128.0,0.0,0.0,0.0,0.0
724686,1985-02-14,-128.0,1307.530029,-128.0,0.0,0.0,0.0,0.0
724687,1985-02-15,-128.0,1296.27002,-128.0,0.0,0.0,0.0,0.0
724688,1985-02-16,-128.0,1296.27002,-128.0,0.0,0.0,0.0,0.0
724689,1985-02-17,-128.0,1296.27002,-128.0,0.0,0.0,0.0,0.0
724690,1985-02-18,-128.0,1296.27002,-128.0,0.0,0.0,0.0,0.0
724691,1985-02-19,-128.0,1287.430054,-128.0,0.0,0.0,0.0,0.0
724692,1985-02-20,-128.0,1292.51001,-128.0,0.0,0.0,0.0,0.0
724693,1985-02-21,-128.0,1287.099976,-128.0,0.0,0.0,0.0,0.0
724694,1985-02-22,-128.0,1286.550049,-128.0,0.0,0.0,0.0,0.0
724695,1985-02-23,-128.0,1286.550049,-128.0,0.0,0.0,0.0,0.0
724696,1985-02-24,-128.0,1286.550049,-128.0,0.0,0.0,0.0,0.0
724697,1985-02-25,-128.0,1283.130005,-128.0,0.0,0.0,0.0,0.0
724698,1985-02-26,-128.0,1293.180054,-128.0,0.0,0.0,0.0,0.0
724699,1985-02-27,-128.0,1295.27002,-128.0,-128.0,0.0,0.0,0.0
724700,1985-02-28,-128.0,1288.319946,-128.0,-128.0,0.0,0.0,0.0
724701,1985-03-01,-127.0,1309.959961,-127.8,-127.97,0.0,0.0,0.0
724702,1985-03-02,-127.0,1309.959961,-127.6,-127.93,0.0,0.0,0.0
724703,1985-03-03,-127.0,1309.959961,-127.4,-127.9,0.0,0.0,0.0
724704,1985-03-04,-128.0,1304.550049,-127.4,-127.9,0.0,0.0,0.0
724705,1985-03-05,-128.0,1300.02002,-127.4,-127.9,0.0,0.0,0.0
724706,1985-03-06,-128.0,1296.930054,-127.6,-127.9,0.0,0.0,0.0
724707,1985-03-07,-128.0,1283.23999,-127.8,-127.9,0.0,0.0,0.0
724708,1985-03-08,-128.0,1280.810059,-128.0,-127.9,0.0,0.0,0.0
724709,1985-03-09,-128.0,1280.810059,-128.0,-127.9,0.0,0.0,0.0
724710,1985-03-10,-128.0,1280.810059,-128.0,-127.9,0.0,0.0,0.0
724711,1985-03-11,-128.0,1277.050049,-128.0,-127.9,0.0,0.0,0.0
724712,1985-03-12,-128.0,1279.47998,-128.0,-127.9,0.0,0.0,0.0
724713,1985-03-13,-128.0,1278.27002,-128.0,-127.9,0.0,0.0,0.0
724714,1985-03-14,-128.0,1269.209961,-128.0,-127.9,0.0,0.0,0.0
724715,1985-03-15,-128.0,1266.890015,-128.0,-127.9,0.0,0.0,0.0
724716,1985-03-16,-128.0,1266.890015,-128.0,-127.9,0.0,0.0,0.0
724717,1985-03-17,-128.0,1266.890015,-128.0,-127.9,0.0,0.0,0.0
724718,1985-03-18,-128.0,1260.930054,-128.0,-127.9,0.0,0.0,0.0
724719,1985-03-19,-128.0,1274.180054,-128.0,-127.9,0.0,0.0,0.0
724720,1985-03-20,-128.0,1277.390015,-128.0,-127.9,0.0,0.0,0.0
724721,1985-03-21,-128.0,1278.930054,-128.0,-127.9,0.0,0.0,0.0
724722,1985-03-22,-128.0,1277.390015,-128.0,-127.9,0.0,0.0,0.0
724723,1985-03-23,-128.0,1277.390015,-128.0,-127.9,0.0,0.0,0.0
724724,1985-03-24,-128.0,1277.390015,-128.0,-127.9,0.0,0.0,0.0
724725,1985-03-25,-128.0,1268.329956,-128.0,-127.9,0.0,0.0,0.0
724726,1985-03-26,-128.0,1267.560059,-128.0,-127.9,0.0,0.0,0.0
724727,1985-03-27,-128.0,1270.869995,-128.0,-127.9,0.0,0.0,0.0
724728,1985-03-28,-128.0,1275.51001,-128.0,-127.9,0.0,0.0,0.0
724729,1985-03-29,-128.0,1270.650024,-128.0,-127.9,0.0,0.0,0.0
724730,1985-03-30,-128.0,1270.650024,-128.0,-127.9,0.0,0.0,0.0
724731,1985-03-31,-128.0,1270.650024,-128.0,-127.93,0.0,0.0,0.0
724732,1985-04-01,-128.0,1276.280029,-128.0,-127.97,0.0,0.0,0.0
724733,1985-04-02,-128.0,1280.150024,-128.0,-128.0,0.0,0.0,0.0
724734,1985-04-03,-128.0,1268.109985,-128.0,-128.0,0.0,0.0,0.0
724735,1985-04-04,-128.0,1264.23999,-128.0,-128.0,0.0,0.0,0.0
724736,1985-04-05,-128.0,1264.23999,-128.0,-128.0,0.0,0.0,0.0
724737,1985-04-06,-128.0,1264.23999,-128.0,-128.0,0.0,0.0,0.0
724738,1985-04-07,-128.0,1264.23999,-128.0,-128.0,0.0,0.0,0.0
724739,1985-04-08,-128.0,1267.01001,-128.0,-128.0,0.0,0.0,0.0
724740,1985-04-09,-128.0,1262.040039,-128.0,-128.0,0.0,0.0,0.0
724741,1985-04-10,-128.0,1269.099976,-128.0,-128.0,0.0,0.0,0.0
724742,1985-04-11,-128.0,1274.849976,-128.0,-128.0,0.0,0.0,0.0
724743,1985-04-12,-128.0,1270.430054,-128.0,-128.0,0.0,0.0,0.0
724744,1985-04-13,-128.0,1270.430054,-128.0,-128.0,0.0,0.0,0.0
724745,1985-04-14,-128.0,1270.430054,-128.0,-128.0,0.0,0.0,0.0
724746,1985-04-15,-128.0,1272.420044,-128.0,-128.0,0.0,0.0,0.0
724747,1985-04-16,-128.0,1276.609985,-128.0,-128.0,0.0,0.0,0.0
724748,1985-04-17,-128.0,1277.5,-128.0,-128.0,0.0,0.0,0.0
724749,1985-04-18,-128.0,1281.910034,-128.0,-128.0,0.0,0.0,0.0
724750,1985-04-19,-128.0,1272.530029,-128.0,-128.0,0.0,0.0,0.0
724751,1985-04-20,-128.0,1272.530029,-128.0,-128.0,0.0,0.0,0.0
724752,1985-04-21,-128.0,1272.530029,-128.0,-128.0,0.0,0.0,0.0
724753,1985-04-22,-128.0,1273.630005,-128.0,-128.0,0.0,0.0,0.0
724754,1985-04-23,-128.0,1282.910034,-128.0,-128.0,0.0,0.0,0.0
724755,1985-04-24,-128.0,1286.439941,-128.0,-128.0,0.0,0.0,0.0
724756,1985-04-25,-128.0,1289.199951,-128.0,-128.0,0.0,0.0,0.0
724757,1985-04-26,-128.0,1290.300049,-128.0,-128.0,0.0,0.0,0.0
724758,1985-04-27,-128.0,1290.300049,-128.0,-128.0,0.0,0.0,0.0
724759,1985-04-28,-128.0,1290.300049,-128.0,-128.0,-127.97,0.0,0.0
724760,1985-04-29,-128.0,1277.939941,-128.0,-128.0,-127.97,0.0,0.0
724761,1985-04-30,-128.0,1266.22998,-128.0,-128.0,-127.97,0.0,0.0
724762,1985-05-01,-128.0,1262.810059,-128.0,-128.0,-127.97,0.0,0.0
724763,1985-05-02,-128.0,1251.209961,-128.0,-128.0,-127.97,0.0,0.0
724764,1985-05-03,-128.0,1253.859985,-128.0,-128.0,-127.97,0.0,0.0
724765,1985-05-04,-128.0,1253.859985,-128.0,-128.0,-127.97,0.0,0.0
724766,1985-05-05,-128.0,1253.859985,-128.0,-128.0,-127.97,0.0,0.0
724767,1985-05-06,-128.0,1256.400024,-128.0,-128.0,-127.97,0.0,0.0
724768,1985-05-07,-128.0,1261.369995,-128.0,-128.0,-127.97,0.0,0.0
724769,1985-05-08,-128.0,1258.939941,-128.0,-128.0,-127.97,0.0,0.0
724770,1985-05-09,-128.0,1265.569946,-128.0,-128.0,-127.97,0.0,0.0
724771,1985-05-10,-128.0,1282.459961,-128.0,-128.0,-127.97,0.0,0.0
724772,1985-05-11,-128.0,1282.459961,-128.0,-128.0,-127.97,0.0,0.0
724773,1985-05-12,-128.0,1282.459961,-128.0,-128.0,-127.97,0.0,0.0
724774,1985-05-13,-128.0,1283.569946,-128.0,-128.0,-127.97,0.0,0.0
724775,1985-05-14,-128.0,1288.650024,-128.0,-128.0,-127.97,0.0,0.0
724776,1985-05-15,-128.0,1283.569946,-128.0,-128.0,-127.97,0.0,0.0
724777,1985-05-16,-128.0,1285.109985,-128.0,-128.0,-127.97,0.0,0.0
724778,1985-05-17,-128.0,1295.829956,-128.0,-128.0,-127.97,0.0,0.0
724779,1985-05-18,-128.0,1295.829956,-128.0,-128.0,-127.97,0.0,0.0
724780,1985-05-19,-128.0,1295.829956,-128.0,-128.0,-127.97,0.0,0.0
